date,Dining Room,Bathroom,Kitchen,Toliet,Desk,Bed,Living Room,Garage,Balcony,Family Room,Home Office,Laundry Room,Mudroom,Chair,Playroom,Basement,Petroom,Coffee room,Children room,Family Room,Car room,Light room,Classroom,Nurse Room,VR Room,Mining Room,VC Room,Storage,Hall,The Pound,Window Room,Playground,Workout Room,Master Bedroom, Entry Room,Great Room ,Trade Room,Study Room,Painting Room,Bedroom
20000101,,1,1,,,1,22,,23,3,3,22,22,,,,11,6,,1,,3,38,1,,,10,,5,,,4,,2,,5,,,,52
20000201,,,,,,,17,,22,2,3,22,18,,,,11,6,,1,,3,34,1,,,12,,4,,,5,,2,,9,,,,55
20000301,,,,,,,14,,25,2,4,17,20,,,,10,4,,1,,4,40,2,,,11,,4,,,3,,2,,4,,,,58
20000401,,1,1,,,,11,,37,3,7,19,22,,,,10,4,,1,,4,34,3,,,9,,5,,,2,,4,,4,,,,62
20000501,,1,1,,,,7,,33,3,3,20,21,,,,8,5,,1,,6,34,2,,,9,,4,1,,2,,5,,5,1,,,59
20000601,,1,1,,,,9,,33,5,4,19,23,,,,11,5,,1,,4,36,2,1,1,7,,6,,,3,,3,,5,2,,,62
20000701,,,,,,,12,,23,7,4,18,20,,,,10,5,,1,,4,35,2,,,7,,7,,,4,,2,,5,,,,65
20000801,,1,1,,,,13,,30,2,4,22,21,,,,11,5,,1,,4,29,1,,,9,,4,,,3,,2,0,11,1,,,66
20000901,,1,1,,,,12,,32,3,3,24,21,,,,9,6,,2,,4,35,1,,1,10,,4,,,5,,4,,8,,,,60
20001001,,1,1,,,1,7,,33,7,4,24,24,,,,11,5,,2,,4,38,1,,,9,,6,,,2,,4,,9,,,,60
20001101,,1,1,,,1,12,,34,5,4,21,25,,,,11,5,,2,,5,35,2,,1,9,,4,,,3,,4,,11,,,,59
20001201,,1,1,,,,4,,26,9,5,23,22,,,,10,6,,1,,5,40,1,,1,9,,3,,,2,,4,,7,,,,61
20010101,,1,1,,,,5,,31,6,4,30,22,,,,14,5,,2,,6,32,2,,,9,,5,,,2,,4,,6,,,,61
20010201,,1,1,,,1,6,,23,4,2,28,19,,,,10,5,,2,,,34,2,,1,15,,4,1,,2,,3,,4,1,,,66
20010301,,1,1,,,1,6,,28,4,3,30,23,,1,,9,5,,2,,,35,3,,1,13,,4,,,2,,4,,4,,,,61
20010401,,0,0,,,2,6,,33,6,2,30,17,,,,9,7,,3,,,32,1,,1,13,,3,,,1,,,,7,,,,61
20010601,,1,1,,,,7,,29,4,2,32,19,,1,,9,6,,2,,,32,1,,1,11,,3,1,,2,,8,,4,,,,61
20010701,,1,1,,,1,10,,25,6,2,32,21,,1,,8,5,,1,,,36,1,,,9,,5,,,3,,,,3,,,,63
20010801,,2,2,,,0,19,,24,4,3,31,18,,1,,8,5,,1,,,32,1,,1,11,,7,,,2,,,,3,,,,66
20010901,,1,1,,,1,9,,20,6,2,36,21,,,,9,6,,2,,,37,1,,,10,,4,1,,2,,4,,2,,,,69
20011001,,1,1,,,1,13,,24,5,2,30,19,,,,8,6,,2,,,41,1,,,12,,3,1,,4,,3,,2,,,,68
20011101,,1,1,,,1,9,,26,8,2,36,19,,1,,10,6,,2,,,24,2,,1,10,,5,,,2,,3,,1,1,,,73
20020101,,1,1,,,2,10,,34,3,2,33,18,,1,,10,8,,3,,,24,3,,1,9,,4,1,,1,,2,,2,,,,78
20020201,,1,1,,,1,10,,33,3,2,31,20,,1,,9,4,,2,,,30,,,,7,,5,1,,2,,2,,1,1,,,81
20020301,,2,2,,,3,8,,17,9,2,37,16,,1,,10,5,,3,,,28,,,1,7,,4,1,,3,,2,,1,,,,79
20020401,,2,2,,,,24,,12,3,2,41,15,,1,,17,7,,2,,,24,,,,7,,3,1,,2,,3,0,1,,,,72
20020501,,2,2,,,,19,,12,2,,47,16,,1,,15,8,,5,,,27,1,,,7,,5,3,,2,,4,,1,1,,,71
20020601,,1,1,,,,19,,9,2,1,50,14,,1,,10,9,,3,,,27,,,,7,,4,2,,2,,2,0,,8,,,74
20020701,,1,1,,,,22,,11,3,1,53,17,,1,,13,9,,3,,,21,,,1,6,,7,4,,1,,3,,1,,,,61
20020901,,2,2,,,,10,,14,7,2,44,18,,2,,15,13,,7,,,26,1,,2,7,,8,4,,2,,6,,1,1,,,64
20021001,,,,,,,10,,17,3,,35,20,,,,12,7,,5,,,28,,,1,7,,14,,,,,,,,,,,61
20021101,,1,1,,,,17,,16,3,2,26,21,,1,,11,9,,5,,,30,1,,2,9,,15,1,,1,,4,,1,,,,57
20021201,,2,2,,,,14,,15,4,2,27,23,,1,,11,9,,7,,,32,1,,1,8,,13,,,2,,5,,1,,,,57
20030101,,,,,,,10,,11,3,,32,27,,,,9,8,,7,,,41,1,,1,8,,10,,,,,,,,,,,53
20030201,,,,,,,9,,13,4,,40,27,,,,11,10,,9,,,49,2,,1,10,,7,,,,,,,,,,,56
20030301,,,,,,,12,,11,6,,37,24,,,,12,11,,8,,,43,2,,3,9,,5,,,,,,,,,,,54
20030401,,,,,,,24,,15,6,,31,17,,,,17,10,,9,,,34,1,,2,8,,4,,,,,,,,,,,41
20030501,,,,,,,32,,12,4,,28,24,,,,9,9,,10,,,42,1,,2,10,,7,,,,,,,,,,,48
20030601,,,,,,,9,,15,8,,24,21,,,,9,11,,8,,,51,1,,2,10,,10,,,,,,,,,,,54
20030701,,,,,,,8,,23,6,,26,26,,,,9,12,,9,,,45,,,1,9,,7,,,,,,,,,,,54
20030801,,,,,,,6,,13,9,,34,19,,,,13,17,,11,,,34,,,2,8,,8,,,,,,,,,,,54
20030901,,,,,,,8,,13,6,,34,17,,,,9,14,,11,,,33,,,2,7,,18,,,,,,,,,,,53
20031001,,,,,,,18,,9,4,,28,20,,,,11,18,,13,,,40,,,1,7,,8,,,,,,,,,,,52
20031101,,,,,,,5,,14,4,,28,25,,,,7,16,,13,,,51,,,1,7,,9,,,,,,,,,,,45
20031201,,,,,,,4,,15,10,,27,20,,,,10,21,,27,,,29,1,,1,10,,10,,,,,,,,,,,48
20040101,,1,1,,,,5,,7,6,1,32,18,,,,8,22,,38,,,24,,,,9,,9,1,,1,,1,,3,,,,38
20040201,,1,1,,,,3,,7,51,1,33,17,,,,8,19,,35,,,23,2,,,8,,5,1,,1,,1,,2,,,,37
20040301,,1,1,,,,4,,5,65,1,28,17,,,,10,19,,28,,,27,1,,3,10,,5,1,,1,,2,,1,,,,34
